旧URL,新URL,扱い
/1000-2/,/rooms/#prayer,301
/1028/,/stories/shiomi/7-ryugakusei/,301
/1130/,/media/,301
/1165/,/media/,301
/1172/,/media/,301
/1174/,/media/,301
/1180/,/media/,301
/1185/,/media/,301
/1187/,/media/,301
/1190/,/media/,301
/1194/,/media/,301
/1196/,/media/,301
/1200/,/media/,301
/1204/,/media/,301
/1206/,/media/,301
/1212/,/media/,301
/1326/,/stories/renovation/niwa/,301
/1331/,/stories/renovation/ido/,301
/1359/,/stories/renovation/nagayamon/,301
/1361/,/stories/renovation/baiotoire/,301
/1413/,/stories/renovation/kabenuri/,301
/1427/,/stories/shiomi/nikkei-canadian/,301
/1532/,/stories/shiomi/owarini/,301
/164/,/access/,301
/166/,/stories/shiomi/,301
/168/,/access/,301
/169/,/access/,301
/171/,/access/,301
/172/,/access/,301
/173/,/access/,301
/1749/,/stories/renovation/itadakimono-1/,301
/175/,/stories/island/#kotsu,301
/1752/,/stories/renovation/furudategu/,301
/1757/,/stories/renovation/hajimari/,301
/176/,/stories/island/#kaimono,301
/177/,/access/,301
/178/,/stories/shiomi/1-tobei/,301
/179/,/stories/shiomi/2-tanshin/,301
/1897/,/stories/island/#komanan,301
/193/,/stories/shiomi/column-inochi/,301
/203/,/stories/shiomi/3-seishun/,301
/2302/,/stories/renovation/naiso/,301
/2348/,/stories/renovation/dai2ki/,301
/242/,/stories/shiomi/tasaka-sumigama/,301
/2425/,/stories/renovation/tanden/,301
/2432/,/media/,301
/259/,/stories/shiomi/4-shuyojo/,301
/277/,/stories/shiomi/5-american-dream/,301
/285/,/about/,301
/3108/,/stories/island/#shimaoya,301
/318/,/stories/shiomi/column-tanaka/,301
/627/,/stories/shiomi/6-bunkazai/,301
/649/,/stories/renovation/goemon-naiso/,301
/656/,/stories/renovation/goemon-hontai/,301
/667/,/stories/renovation/itadakimono-2/,301
/715/,/stories/island/#shimashikoku,301
/8060/,/media/,301
/918/,/media/,301
/920/,/media/,301
/access-2/,/access/,301
/alcohol/,/meals/,301
/category/blog/,/stories/,301
/category/eventnews/,/,301
/en/,/,301
/en/1000-2/,/rooms/#prayer,301
/en/1578/,/stories/shiomi/6-bunkazai/,301
/en/1582/,/stories/shiomi/7-ryugakusei/,301
/en/1608/,/stories/shiomi/owarini/,301
/en/1613/,/media/,301
/en/511/,/stories/shiomi/,301
/en/514/,/stories/shiomi/1-tobei/,301
/en/530/,/stories/shiomi/2-tanshin/,301
/en/536/,/stories/shiomi/3-seishun/,301
/en/543/,/stories/shiomi/4-shuyojo/,301
/en/912/,/stories/shiomi/5-american-dream/,301
/en/about-shiomi-house/,/about/,301
/en/access/,/access/,301
